GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tp2,aed,ListaEnlazadaDoble.Nodo,0,9,0,0,0,1,0,1,0,1
tp2,aed,Saldos,1,280,2,22,1,56,2,18,0,8
tp2,aed,Transaccion,14,92,6,10,5,19,7,9,1,7
tp2,aed,TransaccionActiva,10,9,0,0,4,4,3,1,3,1
tp2,aed,ListaEnlazadaDoble.ListaIterador,0,28,0,2,0,5,0,4,0,3
tp2,aed,Bloque,17,169,1,15,4,36,1,12,0,5
tp2,aed,ColaDePrioridad,120,194,10,18,29,41,12,17,7,8
tp2,aed,Berretacoin,0,125,0,6,0,23,0,10,0,7
tp2,aed,NodoHeap,0,15,0,0,0,5,0,2,0,2
tp2,aed,ListaEnlazadaDoble,234,127,21,11,61,35,17,11,6,6
tp2,aed,Usuario,41,39,9,3,11,12,7,6,2,5
